no,lng,lat,sites
0,-73.7946273,40.7864093,
1,-73.7570906,40.7624294,
2,-73.7441643,40.7534671,
3,-73.9600437,40.7980478,
4,-73.9614743,40.798645,
5,-73.962886,40.7992545,
6,-73.9657046,40.8004313,
7,-73.9679942,40.8014007,
8,-73.9685711,40.8016441,
9,-73.9700504,40.8022679,
10,-73.9750067,40.7826383,
11,-73.9778254,40.783828,
12,-73.9795827,40.7845691,
13,-73.9806779,40.7850311,
14,-73.9820114,40.7855935,
15,-73.9313239,40.8593291,
16,-73.930122,40.858744,
17,-73.927625,40.859012,
18,-73.926786,40.859944,
19,-73.9703136,40.7839863,
20,-73.9731496,40.7851818,
21,-73.9759753,40.7863627,
22,-73.9776927,40.7870877,
23,-73.9788289,40.7875673,
24,-73.9810702,40.7885135,
25,-73.976212,40.725326,
26,-73.9568234,40.8126219,
27,-73.9598214,40.8138307,
28,-73.9606929,40.814184,
29,-73.9959291,40.7328569,
30,-73.9991816,40.7341463,
31,-74.0087998,40.704221,
32,-74.008325,40.703813,
33,-74.0077787,40.7033242,
34,-74.0089696,40.7041084,
35,-74.0079771,40.7032082,
36,-73.9810202,40.769279,
37,-73.9822548,40.7697921,
38,-73.9838467,40.7704805,
39,-73.9866896,40.7716682,
40,-73.9895487,40.7728658,
41,-73.9679486,40.7872303,
42,-73.9707862,40.7884325,
43,-73.9736025,40.7896131,
44,-73.9751319,40.7902552,
45,-73.9764565,40.7908174,
46,-73.9786893,40.7917606,
47,-74.0158085,40.7115654,
48,-74.0143968,40.7110102,
49,-74.0116524,40.7096662,
50,-74.010521,40.7091439,
51,-74.009371,40.708614,
52,-74.008269,40.7077219,
53,-73.933383,40.801654,
54,-73.9337863,40.8021373,
55,-73.9328482,40.8021279,
56,-73.9310755,40.8006413,
57,-74.0074126,40.7482137,
58,-74.002383,40.7064526,
59,-74.001657,40.7094916,
60,-73.9223431,40.7979661,
61,-73.9836866,40.7854139,
62,-73.982724,40.7880898,
63,-73.973672,40.7380812,
64,-73.9582334,40.759667,
65,-73.9841938,40.7851419,
66,-73.9826637,40.7849838,
67,-73.9721195,40.7456771,
68,-73.9749173,40.7460933,
69,-73.9756975,40.7165061,
70,-73.9747446,40.7188498,
71,-73.9853308,40.7835427,
72,-73.9337066,40.8442431,
73,-73.9323138,40.8461493,
74,-73.9326138,40.8026802,
75,-73.9329248,40.8033714,
76,-73.9334044,40.8027007,
77,-73.977586,40.71325,
78,-73.9777809,40.7124485,
79,-73.9816369,40.7107361,
80,-73.9837441,40.7858009,
81,-74.006113,40.7237914,
82,-74.007029,40.724504,
83,-73.9747141,40.7210513,
84,-73.964501,40.7589757,
85,-73.9639971,40.7596362,
86,-73.960551,40.7595738,
87,-73.979076,40.766876,
88,-73.9619892,40.7620792,
89,-73.9737798,40.738358,
90,-73.9987308,40.7588307,
91,-73.9969538,40.7593876,
92,-73.9992177,40.7588687,
93,-73.9968472,40.7577413,
94,-73.9437668,40.7828756,
95,-73.9856663,40.7803049,
96,-73.9643559,40.7606212,
97,-73.9304732,40.794774,
98,-73.9318124,40.7944866,
99,-73.9322343,40.793786,
100,-73.9483958,40.7696458,
101,-73.9491484,40.7687012,
102,-73.9950384,40.769378,
103,-73.9735933,40.7794868,
104,-73.934463,40.817189,
105,-74.0067668,40.7217241,
106,-74.0079995,40.7211998,
107,-74.0078146,40.7209099,
108,-74.0075453,40.7208183,
109,-74.0082309,40.7219848,
110,-73.9646868,40.7916653,
111,-74.0142358,40.706675,
112,-73.9352284,40.8295922,
113,-73.9356498,40.8305583,
114,-73.9362839,40.8304897,
115,-74.008466,40.7206456,
116,-74.0079297,40.7237578,
117,-74.0070994,40.7244054,
118,-73.9768601,40.7146116,
119,-73.9592519,40.7593082,
120,-73.959539,40.820283,
121,-73.9570228,40.8232976,
122,-73.9601312,40.8197265,
123,-73.9610583,40.8186803,
124,-73.9618103,40.8180007,
125,-73.9355687,40.8069238,
126,-73.934989,40.806716,
127,-73.9950492,40.7573509,
128,-73.9948115,40.7576654,
129,-73.9698495,40.784623,
130,-74.0059302,40.7244132,
131,-73.967223,40.8105617,
132,-73.9610256,40.8176607,
133,-73.977917,40.715649,
134,-73.952984,40.791722,
135,-73.98426,40.7856571,
136,-73.9641691,40.7923746,
137,-73.9596517,40.8203291,
138,-73.9760329,40.7955013,
139,-73.93488,40.8283867,
140,-73.9344467,40.8156499,
141,-73.9343624,40.8150259,
142,-73.9628627,40.7941945,
143,-73.9291241,40.7993084,
144,-73.9312445,40.803474,
145,-73.9359788,40.8310339,
146,-73.9309781,40.8668641,
147,-73.9847324,40.785664,
148,-74.00044,40.714372,
149,-73.9318334,40.8692662,
150,-74.0075216,40.7239092,
151,-74.0074947,40.723454,
152,-73.9323547,40.8039448,
153,-73.9523894,40.7982184,
154,-73.9514971,40.7602377,
155,-73.9513774,40.7605289,
156,-73.9370767,40.8341389,
157,-74.0128371,40.7024415,
158,-73.9303177,40.8023907,
159,-73.9368087,40.79239,
160,-73.9354595,40.8349981,
161,-73.9758369,40.7472719,
162,-73.9692725,40.74693,
163,-73.9745237,40.7373813,
164,-73.9748941,40.7369806,
165,-73.9479808,40.7624373,
166,-73.9490982,40.7629702,
167,-73.9348385,40.8063093,
168,-73.9342568,40.8179052,
169,-73.934348,40.8187778,
170,-73.9367296,40.7904084,
171,-73.9374057,40.7896684,
172,-73.9311538,40.847737,
173,-73.9521298,40.7652791,
174,-73.9510319,40.7665113,
175,-73.9558392,40.7566034,
176,-73.9441039,40.8353715,
177,-73.9445746,40.8363811,
178,-73.9442977,40.8370771,
179,-73.9440172,40.8377866,
180,-73.9437512,40.8384634,
181,-73.943465,40.839174,
