place,lng,lat
Gerald Schoenfeld Theatre,-73.98743774010278,40.75848585
Penn Station,-73.9948599478206,40.75029003468822
Columbus Circle,-73.98153490106645,40.767790044549756
Alice in Wonderland Statue,-73.96514995673911,40.77504003456562
Herald Square,-73.98791989962939,40.74985002668103
Ripley's Believe It or Not! Times Square,-73.98850783393843,40.756466
Park Avenue,-73.95663000361837,40.78053998797225
Hudson Theatre,-73.98442437609879,40.7571077
Trump Tower,-73.97406100946202,40.762519985792466
The Shops at Columbus Circle,-73.98243999999994,40.76809000000003
Lunt-Fontanne Theatre,-73.98590151622378,40.759166199999996
The Met Breuer,-73.96400993408822,40.773730026918344
Museum of Sex,-73.9873576,40.7440374
St Joseph's Chapel Catholic Memorial at Ground Zero,-74.01652096492076,40.71160000782069
Shubert Theatre,-73.98725639341359,40.75814475
Bethel Gospel Assembly,-73.94336698294774,40.80231001172322
St James Theatre,-73.98815839177944,40.75798445
Al Hirschfeld Theatre,-73.98921084892254,40.75925315
Century 21,-74.010777,40.7107077
Charging Bull (Wall Street Bull),-74.01315303240584,40.70564998812304
Federal Reserve Bank of New York,-74.00847766667601,40.70845111333955
New York City Fire Museum,-74.00692978766418,40.7256009
New York Harbor,-74.2259247,40.528555
NFL Experience Times Square,-73.98638279525598,40.75563671809196
Pier 17,-74.00201136043286,40.7058275
"Cooper Hewitt, Smithsonian Design Museum",-73.95777999999996,40.78443000000004
The Museum at FIT,-73.99378991406122,40.746610043918054
Central Park Zoo,-73.97080999999997,40.76753000000008
Fraunces Tavern Museum,-74.01134999999994,40.70344000000006
Museum of Illusions,-74.00251991767554,40.73975004290219
General Grant National Memorial,-73.96300988922036,40.81263006236992
Seaport District NYC,-74.00356103386896,40.70700001935799
Battery Park,-74.01422993932582,40.704460051238755
Bow Bridge,-74.00713999999994,40.71455000000003
Upper East Side,-73.9641196,40.7737016
Queensboro Bridge,-73.95971990840496,40.75866003556115
Theodore Roosevelt Birthplace National Historic Site,-73.98895999999996,40.738680000000045
The Dakota,-73.97591070089754,40.776774950000004
Pip's Island,-73.99320401902925,40.75842999422849
TriBeCa,-74.0093063,40.7153802
Jacob Javits Convention Center,-74.00351999999998,40.756590000000074
Marquis Theatre,-73.98594075453586,40.75820516652981
Irish Hunger Memorial,-74.01605660526289,40.71460049154422
African Burial Ground National Monument,-74.00401994306782,40.71457005139189
Stephen Sondheim Theatre,-73.9849328,40.7558962
New York Stock Exchange,-74.01123902481572,40.706499996924066
Love Sculpture,-73.97819675174647,40.76302679451484
Children's Museum of Manhattan,-73.97720999999996,40.78595000000007
Bethesda Terrace,-73.96396995241007,40.771160051585724
Lower East Side,-73.9868057,40.7159357
Walter Kerr Theater,-73.98556691701684,40.76034424552184
NYC Ferry,-74.00652101915634,40.70477001401818
Hamilton Grange National Memorial,-73.94725999999997,40.82141000000007
Studio 54,-73.98377859278992,40.7643461
Imperial Theatre,-73.98740999999995,40.75886000000003
Unisphere,-73.85669792789314,40.75326231750773
Balto Statue,-73.97620439999997,40.78605090000008
Federal Hall,-74.01044500712791,40.70713999714104
Wollman Rink,-73.97130403386956,40.76763198281063
Neil Simon Theatre,-73.98451975713795,40.7630257
Mahayana Buddhist Temple,-73.99536504130594,40.71611001655279
FDNY Memorial Wall,-74.0125210369064,40.70996000464538
The High Line Park,-74.00837995764259,40.735500040806585
Chelsea Hotel,-73.99678999999998,40.74441000000007
August Wilson Theater,-73.98419335493764,40.763373
East Village,-74.14767269778883,40.62159171622062
New York City Center,-73.97962399478052,40.76374998817394
Museum of Arts and Design,-73.98193610277778,40.767331850000005
Fearless Girl,-74.01325275324545,40.7049404839476
PATH,-74.0181507,40.71362
City Winery,-74.00568999999996,40.72637000000003
International Center of Photography Museum,-73.98860169881024,40.717909566628016
Belvedere Castle,-73.96845999999994,40.77888000000007
Museum of Chinese in  America,-73.9990481,40.7194172
FDNY Fire Zone,-73.97844499627988,40.75975999271486
The Village Halloween Parade,-74.00542999999993,40.733880000000056
National Museum of Mathematics,-73.9873437,40.7432428
Ambassador Theatre,-73.98499032873778,40.761235549999995
Franklin D. Roosevelt Four Freedoms Park,-73.96016297580682,40.751029989100545
Hope Sculpture,-73.98227602894524,40.76282999048141
Governors Island,-74.02309490113338,40.689164483560816
